paper_id,run_name,status,judge_backend,judge_model,judge_reasoning_effort,structural_distance,judge_average,结构_信息快速定位,结构_详略得当,内容_章节互斥性,内容_逻辑深度,内容_学术价值,语用_描述性与简洁性,path
096_2502.03108,baseline_no_taxonomy,success,codex,gpt-5.5,high,0.5641025641025641,6.583333333333333,7.0,7.5,5.5,6.5,7.5,5.5,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/no_abstract/baseline_no_taxonomy/chatgpt_meow_outline_blind.eval.json
096_2502.03108,taxonomy_augmented_v1_minimal,success,codex,gpt-5.5,high,0.6136363636363636,7.25,7.5,8.0,6.0,7.5,8.0,6.5,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/no_abstract/taxonomy_augmented_v1_minimal/chatgpt_meow_outline_blind.eval.json
096_2502.03108,taxonomy_augmented_v2_guarded,success,codex,gpt-5.5,high,0.5294117647058824,5.0,6.5,2.0,7.0,4.0,4.0,6.5,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/no_abstract/taxonomy_augmented_v2_guarded/chatgpt_meow_outline_blind.eval.json
096_2502.03108,baseline_no_taxonomy,success,codex,gpt-5.5,high,0.4827586206896552,7.0,8.0,7.0,6.5,5.5,6.5,8.5,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/with_abstract/baseline_no_taxonomy/chatgpt_meow_outline_blind.eval.json
096_2502.03108,taxonomy_augmented_v1_minimal,success,codex,gpt-5.5,high,0.39285714285714285,7.416666666666667,8.0,7.0,7.0,7.5,6.5,8.5,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/with_abstract/taxonomy_augmented_v1_minimal/chatgpt_meow_outline_blind.eval.json
096_2502.03108,taxonomy_augmented_v2_guarded,success,codex,gpt-5.5,high,0.47058823529411764,5.166666666666667,7.0,2.5,5.0,5.0,4.5,7.0,results/2026-05-20_taxonomy_augmented_outline_prompt/096_2502.03108/with_abstract/taxonomy_augmented_v2_guarded/chatgpt_meow_outline_blind.eval.json
2307.05527,ablation_no_meta_abstract,success,gemini,gemini-3.1-pro-preview,,0.4,7.333333333333333,9.0,3.0,8.0,5.0,9.0,10.0,results/2307.05527/ablation_no_meta_abstract/chatgpt_meow_outline_blind.eval.json
2307.05527,ablation_with_meta_abstract,success,gemini,gemini-3.1-pro-preview,,0.3783783783783784,8.0,9.0,9.0,8.5,7.5,9.0,5.0,results/2307.05527/ablation_with_meta_abstract/chatgpt_meow_outline_blind.eval.json
2307.05527,gemini-3.1-pro-preview-3papers,success,legacy_or_unspecified,gpt-5-nano,,0.3870967741935484,7.75,8.5,7.5,8.0,7.0,6.5,9.0,results/2307.05527/gemini-3.1-pro-preview-3papers/chatgpt_meow_outline_blind.eval.json
2307.05527,gemini-3.1-pro-preview__judge-gpt-5.4-xhigh,success,codex,gpt-5.4,xhigh,0.3870967741935484,6.666666666666667,7.0,6.5,6.5,6.5,5.5,8.0,results/2307.05527/gemini-3.1-pro-preview__judge-gpt-5.4-xhigh/chatgpt_meow_outline_blind.eval.json
2307.05527,gpt-5.4-mini-xhigh-4papers,success,legacy_or_unspecified,gpt-5-nano,,0.2903225806451613,8.083333333333334,7.0,7.5,9.0,8.0,8.0,9.0,results/2307.05527/gpt-5.4-mini-xhigh-4papers/chatgpt_meow_outline_blind.eval.json
2307.05527,gpt-5.4-xhigh-3papers,success,legacy_or_unspecified,gpt-5-nano,,0.2857142857142857,8.25,7.5,7.5,9.0,8.0,8.5,9.0,results/2307.05527/gpt-5.4-xhigh-3papers/chatgpt_meow_outline_blind.eval.json
