Taxonomy tree with leaf paper metadata:
Leaf rows include paperId, title, year, and stable external ids.
- Chain-of-Thought Prompting
  - Task Types
    - Close Domain Reasoning and QA
      - 90350aa626bed47b02d0c162462e5b0ca82be6b2 | title: Automatic Chain of Thought Prompting in Large Language Models | year: 2022 | ids: ArXiv=2210.03493; DBLP=journals/corr/abs-2210-03493; CorpusId=252762275
      - 1b6e810ce0afd0dd093f789d2b2742d047e316d5 | title: Chain of Thought Prompting Elicits Reasoning in Large Language Models | year: 2022 | ids: ArXiv=2201.11903; DBLP=journals/corr/abs-2201-11903; CorpusId=246411621
      - 5437e8adab596d7294124c0e798708e050e25321 | title: Least-to-Most Prompting Enables Complex Reasoning in Large Language Models | year: 2022 | ids: ArXiv=2205.10625; DOI=10.48550/arXiv.2205.10625; DBLP=conf/iclr/ZhouSHWS0SCBLC23; CorpusId=248986239
      - 261549439aebdda72b648ecc462448fd24857ac1 | title: Progressive-Hint Prompting Improves Reasoning in Large Language Models | year: 2023 | ids: ArXiv=2304.09797; DOI=10.48550/arXiv.2304.09797; DBLP=journals/corr/abs-2304-09797; CorpusId=258212839
      - 6c943670dca38bfc7c8b477ae7c2d1fba1ad3691 | title: Program of Thoughts Prompting: Disentangling Computation from Reasoning for Numerical Reasoning Tasks | year: 2022 | ids: ArXiv=2211.12588; DBLP=journals/tmlr/ChenM0C23; CorpusId=253801709
      - 3fc3460c4554a28e489a0ea6ef067b79b7d301d9 | title: Active Prompting with Chain-of-Thought for Large Language Models | year: 2023 | ids: ArXiv=2302.12246; DOI=10.48550/arXiv.2302.12246; DBLP=conf/acl/DiaoWLPL024; CorpusId=257102707
      - 0d42221038c05cee8443c5b5af838505ee137dc3 | title: ART: Automatic multi-step reasoning and tool-use for large language models | year: 2023 | ids: ArXiv=2303.09014; DOI=10.48550/arXiv.2303.09014; DBLP=journals/corr/abs-2303-09014; CorpusId=257557449
      - e66f0f822d4c4853b39b27daaafa2993005fd55e | title: Large Language Models are few(1)-shot Table Reasoners | year: 2022 | ids: ArXiv=2210.06710; DOI=10.48550/arXiv.2210.06710; DBLP=conf/eacl/Chen23; CorpusId=252872943; ACL=2023.findings-eacl.83
      - 07955e96cbd778d0ae2a68f09d073b866dd84c2a | title: Decomposed Prompting: A Modular Approach for Solving Complex Tasks | year: 2022 | ids: ArXiv=2210.02406; DOI=10.48550/arXiv.2210.02406; DBLP=journals/corr/abs-2210-02406; CorpusId=252715485
      - b115c1e1e9e51f8ad7d47b745bc04e29a654b84d | title: Faithful Chain-of-Thought Reasoning | year: 2023 | ids: ArXiv=2301.13379; DOI=10.48550/arXiv.2301.13379; DBLP=journals/corr/abs-2301-13379; CorpusId=256416127; ACL=2023.ijcnlp-main.20
      - c88cafa3e980765a64febe369ceb7c2aa7261d2a | title: Complexity-Based Prompting for Multi-Step Reasoning | year: 2022 | ids: ArXiv=2210.00720; DOI=10.48550/arXiv.2210.00720; DBLP=journals/corr/abs-2210-00720; CorpusId=252683303
      - b626560f19f815808a289ef5c24a17c57320da70 | title: MathPrompter: Mathematical Reasoning using Large Language Models | year: 2023 | ids: ArXiv=2303.05398; DOI=10.48550/arXiv.2303.05398; DBLP=journals/corr/abs-2303-05398; CorpusId=257427208; ACL=2023.acl-industry.4
      - 760561c57f68044e2f1d089088df1da6c627b09a | title: On the Advance of Making Language Models Better Reasoners | year: 2022 | ids: DOI=10.48550/arXiv.2206.02336; DBLP=journals/corr/abs-2206-02336; CorpusId=249395505
      - 6c1e1cc1e0e1f8fd026fe517607b2d4535565fa7 | title: PAL: Program-aided Language Models | year: 2022 | ids: ArXiv=2211.10435; DOI=10.48550/arXiv.2211.10435; DBLP=journals/corr/abs-2211-10435; CorpusId=253708270
