test_index,arxiv_id,paper_id,title,rank,raw_line_number,taxonomy_signal_score,taxonomy_ranking_score,taxonomy_signal_bucket,outline_node_count,reference_count,outline_path,pdf_path,tex_source_dir,raw_sha256
1,2305.03803,2305.03803,A Survey of Trojans in Neural Models of Source Code: Taxonomy and Techniques,1,1611,8,12,high,29,41,outlines/001_2305.03803.outline.json,pdf/001_2305.03803.pdf,tex_src/001_2305.03803,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
2,2206.07579,2206.07579,"A Comprehensive Survey on Deep Clustering: Taxonomy, Challenges, and Future Directions",2,1326,8,11,high,68,336,outlines/002_2206.07579.outline.json,pdf/002_2206.07579.pdf,tex_src/002_2206.07579,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
3,2209.03245,2209.03245,The HoloLens in Medicine: A systematic Review and Taxonomy,3,1393,8,11,high,35,244,outlines/003_2209.03245.outline.json,pdf/003_2209.03245.pdf,tex_src/003_2209.03245,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
4,2302.04473,2302.04473,"A Comprehensive Survey on Multimodal Recommender Systems: Taxonomy, Evaluation, and Future Directions",4,1516,8,11,high,37,95,outlines/004_2302.04473.outline.json,pdf/004_2302.04473.pdf,tex_src/004_2302.04473,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
5,2309.01194,2309.01194,"A Survey on Service Route and Time Prediction in Instant Delivery: Taxonomy, Progress, and Prospects",5,1758,8,11,high,34,148,outlines/005_2309.01194.outline.json,pdf/005_2309.01194.pdf,tex_src/005_2309.01194,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
6,2502.08353,2502.08353,Trustworthy GNNs with LLMs: A Systematic Review and Taxonomy,6,2053,8,11,high,13,57,outlines/006_2502.08353.outline.json,pdf/006_2502.08353.pdf,tex_src/006_2502.08353,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
7,2503.14110,2503.14110,"A Comprehensive Survey on Cross-Domain Recommendation: Taxonomy, Progress, and Prospects",7,2131,8,11,high,29,111,outlines/007_2503.14110.outline.json,pdf/007_2503.14110.pdf,tex_src/007_2503.14110,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
8,2306.07303,2306.07303,A Comprehensive Survey on Applications of Transformers for Deep Learning Tasks,8,1661,8,10,high,51,298,outlines/008_2306.07303.outline.json,pdf/008_2306.07303.pdf,tex_src/008_2306.07303,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
9,2205.09904,2205.09904,Deep transfer learning for image classification: a survey,9,1301,8,10,high,46,178,outlines/009_2205.09904.outline.json,pdf/009_2205.09904.pdf,tex_src/009_2205.09904,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
10,2209.06399,2209.06399,"A Survey on Evolutionary Computation for Computer Vision and Image Analysis: Past, Present, and Future Trends",10,1399,8,10,high,53,367,outlines/010_2209.06399.outline.json,pdf/010_2209.06399.pdf,tex_src/010_2209.06399,5938812a35aabe85f8b2a08d0408d70cdab1627ceeb008b93d82e3f76a01eca5
